z,xv,yv,zv,label
-0.0047658,0.00055917,-0.00053907,-0.00037791,1
-0.0047219,-0.00035408,-0.00010953,0.0005243,1
-0.004732,0.001442,0.00012087,-0.00012328,1
-0.0047301,-0.0019689,-0.00030259,2.2878e-05,1
-0.0047607,-0.00032023,0.00075139,-0.00036569,1
-0.0047491,0.00031175,-0.00057462,0.00013901,1
-0.0047558,0.0011723,0.0017018,-7.9399e-05,1
-0.0047415,-0.00028241,-0.0011834,0.00017097,1
-0.0047222,-0.00024911,5.0597e-05,0.00023202,1
-0.0047183,0.0013033,0.00020832,4.6357e-05,1
-0.0047106,-0.0022793,-0.00079203,9.2149e-05,1
-0.0047411,0.0018282,0.00032757,-0.00036518,1
-0.0046963,-0.0010516,-0.00055785,0.00053915,1
-0.0046935,-0.00088673,3.0192e-05,3.2895e-05,1
-0.0047098,0.0010406,0.00067031,-0.00019672,1
-0.0047062,-0.00071156,-0.00053387,4.3303e-05,1
-0.0047028,0.00042476,-0.00018149,4.1393e-05,1
-0.0047182,-2.5303e-05,-0.00021958,-0.00019102,1
-0.0046942,0.00030617,0.00032469,0.00028172,1
-0.0047163,-0.0008912,0.00026216,-0.00026324,1
-0.004723,0.0015159,-0.00034797,-8.1098e-05,1
-0.0047579,-0.00032404,-0.00035114,-0.00041433,1
-0.0047823,-0.0020262,-0.00027499,-0.00029197,1
-0.0047796,0.0020468,0.0011082,3.2682e-05,1
-0.0047608,-0.00043712,-0.00053668,0.00022513,1
-0.0047767,0.0008379,0.00020502,-0.0001907,1
-0.0047621,0.00082291,0.00053811,0.0001749,1
-0.004772,-0.0008798,-0.00065671,-0.00011988,1
-0.0047858,0.00039935,0.00071628,-0.00016396,1
-0.0047807,6.7036e-05,-0.00039945,6.1716e-05,1
-0.0047588,-0.001554,-0.0010201,0.00026527,1
-0.0047639,-0.00030648,-0.00058225,-6.1395e-05,1
-0.0047567,0.0025484,0.0014874,8.6031e-05,1
-0.0047691,-0.002481,-0.0013543,-0.00014723,1
-0.0047919,0.0013101,0.00025861,-0.00027273,1
-0.0048023,-0.00092277,0.00041507,-0.00012471,1
-0.0047818,0.0014348,0.00068089,0.00024497,1
-0.0047211,-0.00036849,0.00052221,0.00073041,1
-0.0047159,-0.0022657,6.1089e-05,6.1923e-05,1
-0.0047008,0.0011668,-0.00066222,0.00018335,1
-0.0047395,0.00098884,3.3156e-05,-0.00045987,1
-0.0047416,-0.00063718,5.4113e-05,-2.5475e-05,1
-0.0047581,-0.0010643,-0.00068864,-0.00019725,1
-0.004764,0.00024808,-0.00051344,-7.0023e-05,1
-0.0047467,0.00070634,0.00028105,0.00020689,1
-0.0047685,-0.0010335,0.00050736,-0.00026251,1
-0.0047423,0.00078948,-0.00028231,0.00031406,1
-0.0047665,0.0014721,0.00093914,-0.00029287,1
-0.0047759,-0.0018022,0.00049836,-0.00011394,1
-0.0047384,-0.00030043,-4.4105e-05,0.00044297,1
-0.0047202,0.0015921,0.00086719,0.00021738,1
-0.0046932,-0.00087286,-0.0015438,0.00032813,1
-0.0046922,-0.00027667,-0.00092599,1.1333e-05,1
-0.004745,0.0010692,0.00079517,-0.00063547,1
-0.004738,-0.00034165,-0.00040575,8.4796e-05,1
-0.0047798,-0.00024518,0.00076941,-0.00050684,1
-0.0047706,0.0006239,0.0012423,0.00010922,1
-0.0047089,0.0013995,-0.00024449,0.0007387,1
-0.0046635,-0.0020146,-0.0010915,0.00054454,1
-0.004651,-0.0015282,-0.00036648,0.00014959,1
-0.0046502,0.001245,-0.00035327,9.4959e-06,1
-0.0046769,-0.00021543,0.00070518,-0.00031866,1
-0.0046722,0.00059743,1.6801e-05,5.6331e-05,1
-0.0047105,0.00073365,7.8358e-05,-0.0004632,1
-0.0046963,-0.0017595,-0.00040736,0.00016862,1
-0.0046968,0.0020473,0.00066433,-6.639e-06,1
-0.0046914,-0.00070294,-0.0013023,6.5326e-05,1
-0.0046977,-0.00030949,0.0008166,-7.6394e-05,1
-0.0046887,2.6667e-05,-3.8615e-05,0.00010786,1
-0.0047076,-0.00042237,0.00034304,-0.00022699,1
-0.0046968,0.0011367,-5.8124e-06,0.00012871,1
-0.0047126,-0.0012023,0.00092636,-0.00018998,1
-0.0047179,0.0009137,-0.00065075,-6.3962e-05,1
-0.0047136,-0.00057705,-0.00049123,5.1435e-05,1
-0.0046894,9.8803e-05,-0.00040098,0.0002899,1
-0.0047254,0.00035109,0.00031742,-0.00043875,1
-0.0047225,-3.0464e-05,-0.0004683,3.426e-05,1
-0.0047313,-0.00099332,-0.00052112,-0.00010671,1
-0.0047477,0.00083266,0.00066921,-0.000196,1
-0.0047272,0.0010214,0.00074784,0.00024702,1
-0.0046956,-0.0012476,0.00021888,0.00037722,1
-0.0047051,-0.00020297,-0.00034639,-0.0001136,1
-0.0046908,0.00041496,0.0016974,0.00017178,1
-0.0046904,0.00042639,-0.0010931,4.9006e-06,1
-0.0047322,-0.00087485,0.00014516,-0.00050033,1
-0.0047085,3.731e-05,-0.0009094,0.00028626,1
-0.0047339,0.00060688,0.00054027,-0.00030334,1
-0.004705,-0.000261,-0.00064724,0.00034858,1
-0.0047114,0.00051315,-0.00041741,-7.6367e-05,1
-0.004711,0.00062057,0.00026225,4.2673e-06,1
-0.0047084,-0.00090709,0.0010079,3.1557e-05,1
-0.0047322,0.00051392,0.00015118,-0.00028641,1
-0.0047164,-0.0018874,-0.0012021,0.00018763,1
-0.0047145,0.001433,0.00020593,2.3617e-05,1
-0.0046678,0.00013685,0.00052784,0.00055805,1
-0.0046729,-0.00088114,-0.00010281,-6.1408e-05,1
-0.0047073,-0.00017192,-5.3391e-05,-0.00041249,1
-0.0047155,-0.001627,-0.00039775,-9.7566e-05,1
-0.0047386,0.0019233,0.00085185,-0.00027752,1
-0.0047306,0.0005257,4.4996e-05,9.6566e-05,1
-0.0046993,-0.00030574,-0.000289,0.00037534,1
-0.0047286,0.0011954,0.001662,-0.00035162,1
-0.0046598,-2.3992e-05,-0.0017286,0.00082481,1
-0.0046756,-0.001301,-0.00042147,-0.00018966,1
-0.0046898,-0.00095482,0.00042244,-0.00017028,1
-0.0046864,0.0025137,-0.00027783,4.0466e-05,1
-0.0047086,-0.0016447,0.00030158,-0.00026527,1
-0.0046786,0.0010241,0.00034403,0.00036015,1
-0.0046923,-0.00071448,-0.00053288,-0.00016711,1
-0.004666,0.00039984,0.00074275,0.00031245,1
-0.0046597,-0.0016974,-0.00081497,7.4648e-05,1
-0.0046654,0.00082517,-0.00029369,-6.8061e-05,1
-0.0046879,-0.00045704,0.00039995,-0.00026876,1
-0.0047049,0.00062562,0.001002,-0.00020515,1
